USE dvwa,0.000084,0,0,1563544492
USE dvwa,0.000326,0,0,1563544492
"SELECT first_name, last_name FROM users WHERE user_id = '11'",0.000326,0,0,1563544492
USE dvwa,0.000003,0,0,1563544492
"SELECT first_name, last_name FROM users WHERE user_id = '11'",0.000003,0,0,1563544492
# administrator command: Quit,0.000003,0,0,1563544492
USE dvwa,0.000006,0,0,1563544493
"SELECT first_name, last_name FROM users WHERE user_id = '11'",0.000006,0,0,1563544493
# administrator command: Quit,0.000006,0,0,1563544493
USE dvwa,0.000184,0,0,1563544493
"SELECT first_name, last_name FROM users WHERE user_id = '11'",0.000184,0,0,1563544493
# administrator command: Quit,0.000184,0,0,1563544493
USE dvwa,0.000655,0,0,1563544493
"SELECT first_name, last_name FROM users WHERE user_id = '11'",0.000655,0,0,1563544493
# administrator command: Quit,0.000655,0,0,1563544493
USE dvwa,0.000012,0,0,1563544493
"SELECT first_name, last_name FROM users WHERE user_id = '11'",0.000012,0,0,1563544493
# administrator command: Quit,0.000012,0,0,1563544493
USE dvwa,0.000014,0,0,1563544493
"SELECT first_name, last_name FROM users WHERE user_id = '11'",0.000014,0,0,1563544493
# administrator command: Quit,0.000014,0,0,1563544493
USE dvwa,0.000048,0,0,1563544493
"SELECT first_name, last_name FROM users WHERE user_id = '11'",0.000048,0,0,1563544493
# administrator command: Quit,0.000048,0,0,1563544493
USE dvwa,0.000151,0,0,1563544493
"SELECT first_name, last_name FROM users WHERE user_id = '11'",0.000151,0,0,1563544493
# administrator command: Quit,0.000151,0,0,1563544493
USE dvwa,0.000001,0,0,1563544493
"SELECT first_name, last_name FROM users WHERE user_id = '11'",0.000001,0,0,1563544493
# administrator command: Quit,0.000001,0,0,1563544493
USE dvwa,0.000003,0,0,1563544493
"SELECT first_name, last_name FROM users WHERE user_id = '11'",0.000003,0,0,1563544493
# administrator command: Quit,0.000003,0,0,1563544493
USE dvwa,0.000056,0,0,1563544493
"SELECT first_name, last_name FROM users WHERE user_id = '11'",0.000056,0,0,1563544493
# administrator command: Quit,0.000056,0,0,1563544493
USE dvwa,0.000080,0,0,1563544493
"SELECT first_name, last_name FROM users WHERE user_id = '11'",0.000080,0,0,1563544493
# administrator command: Quit,0.000080,0,0,1563544493
"SELECT first_name, last_name FROM users WHERE user_id = '11.(')("".),('",0.000080,0,0,1563544493
USE dvwa,0.000002,0,0,1563544493
"SELECT first_name, last_name FROM users WHERE user_id = '11'",0.000002,0,0,1563544493
# administrator command: Quit,0.000002,0,0,1563544493
"SELECT first_name, last_name FROM users WHERE user_id = '11.(')("".),('",0.000002,0,0,1563544493
USE dvwa,0.000003,0,0,1563544493
"SELECT first_name, last_name FROM users WHERE user_id = '11'",0.000003,0,0,1563544493
# administrator command: Quit,0.000003,0,0,1563544493
"SELECT first_name, last_name FROM users WHERE user_id = '11.(')("".),('",0.000003,0,0,1563544493
USE dvwa,0.000053,0,0,1563544493
"SELECT first_name, last_name FROM users WHERE user_id = '11'",0.000053,0,0,1563544493
# administrator command: Quit,0.000053,0,0,1563544493
"SELECT first_name, last_name FROM users WHERE user_id = '11.(')("".),('",0.000053,0,0,1563544493
USE dvwa,0.000374,0,0,1563544493
"SELECT first_name, last_name FROM users WHERE user_id = '11'",0.000374,0,0,1563544493
# administrator command: Quit,0.000374,0,0,1563544493
"SELECT first_name, last_name FROM users WHERE user_id = '11.(')("".),('",0.000374,0,0,1563544493
"SELECT first_name, last_name FROM users WHERE user_id = '11'PiKnBx<'"">vyombG'",0.000374,0,0,1563544493
USE dvwa,0.000001,0,0,1563544493
"SELECT first_name, last_name FROM users WHERE user_id = '11'",0.000001,0,0,1563544493
# administrator command: Quit,0.000001,0,0,1563544493
"SELECT first_name, last_name FROM users WHERE user_id = '11.(')("".),('",0.000001,0,0,1563544493
"SELECT first_name, last_name FROM users WHERE user_id = '11'PiKnBx<'"">vyombG'",0.000001,0,0,1563544493
USE dvwa,0.000002,0,0,1563544498
"SELECT first_name, last_name FROM users WHERE user_id = '11'",0.000002,0,0,1563544498
